Nazwa:;Symbol:;Strefa:
Os. Czecha II;CZII02;A
Os. Czecha III;CIII01;A
Os. Dêbina;OSDE01;A
Os. Dêbina;OSDE02;A
Os. Jagie³³y;OJLY01;A
Os. Jagie³³y;OJLY02;A
Os. Kopernika;OSKO01;A
Os. Kopernika;OSKO02;A
Os. Kosmonautów;OKOS01;A
Os. Kosmonautów;OKOS02;A
Os. Kwiatowe;KWIA01;A
Os. Kwiatowe;KWIA02;A
Os. Lecha;OSLE41;A
Os. Lecha;OSLE42;A
Os. Lecha I;L I01;A
Os. Lecha I;L I02;A
Os. Lecha I;L I04;A
Os. Lecha II;L II02;A
Os. Lubczykowa Góra;LUGO01;A
Os. Lubczykowa Góra;LUGO02;A
Os. £okietka;OLOK02;A
Os. £okietka I;OSLO01;A
Os. £okietka I;OSLO02;A
Os. Marysieñki I;OM I01;A
Os. Marysieñki I;OM I02;A
Os. Marysieñki II;OMII01;A
Os. Marysieñki II;OMII02;A
Os. Or³a Bia³ego;OOB02;A
Os. Or³a Bia³ego I;OB I01;A
Os. Or³a Bia³ego I;OB I02;A
Os. Or³a Bia³ego II;OBII01;A
Os. Or³a Bia³ego II;OBII02;A
Os. Or³a Bia³ego III;OBNZ02;A
Os. Oœwiecenia;OSWI01;A
Os. Oœwiecenia;OSWI02;A
Os. Piastowskie;OPIA01;A
Os. Piastowskie;OPIA02;A
Os. Piastowskie;OPIA41;A
Os. Piastowskie;OPIA42;A
Os. Pod Lipami;OPL01;A
Os. Pod Lipami;OPL02;A
Os. Pod Lipami;OPL03;A
Os. Pod Lipami;OPL41;A
Os. Pod Lipami;OPL42;A
Os. Polan;OSPO01;A
Os. Powstañców W-wy;OPW02;A
Os. Przemys³awa;PRZM01;A
Os. Przemys³awa;PRZM02;A
Os. PrzyjaŸni;OPRZ01;A
Os. PrzyjaŸni;OPRZ02;A
Os. Ró¿any Potok;ORP02;A
Os. Rusa;RUSA01;A
Os. Rusa;RUSA02;A
Os. Rusa/Szpital;R SZ01;A
Os. Rusa/Szpital;R SZ02;A
Os. Rusa/Szpital;R SZ04;A
Os. Rzeczypospolitej;ORZE01;A
Os. Rzeczypospolitej;ORZE02;A
Os. Rzeczypospolitej;ORZE41;A
Os. Rzeczypospolitej;ORZE42;A
Os. S³owiañskie;OSSL01;A
Os. S³owiañskie;OSSL02;A
Os. Sobieskiego;SOB01;A
Os. Sobieskiego;SOB30;A
Os. Sobieskiego;SOB42;A
Os. Sobieskiego I;SO I01;A
Os. Sobieskiego I;SO I02;A
Os. Sobieskiego II;SOII01;A
Os. Stare ¯egrze;SZII01;A
Os. Stare ¯egrze;SZII02;A
Os. Tysi¹clecia;OSTY41;A
Os. Tysi¹clecia;OSTY42;A
Os. Tysi¹clecia I;OT I01;A
Os. Tysi¹clecia I;OT I02;A
Os. Wichrowe Wzgórze;OWW01;A
Os. Wichrowe Wzgórze;OWW02;A
Os. Winiary;WINI01;A
Os. Winiary;WINI02;A
Os. Winiary;WINI41;A
Os. Winiary;WINI42;A
Os. Zodiak;OSZO01;A
Os. Zodiak;OSZO02;A
Os. Zwyciêstwa;OSZW01;A
Os. Zwyciêstwa;OSZW02;A
Os. Zygmunta Starego;OSZY01;A
Os. Zygmunta Starego;OSZY02;A
Ostatnia;OSIA01;A
Ostatnia;OSIA02;A
Ostroroga;OSTR01;A
Ostroroga;OSTR02;A
Ostroroga;OSTR41;A
Ostroroga;OSTR42;A
Ostrowska;OSNZ01;A
Ostrowska;OSNZ02;A
Owcza;OWCZ01;A
Owcza;OWCZ02;A
Owiñska Gospodarstwo Ogrodnicze;OWOGR01;C
Owiñska Gospodarstwo Ogrodnicze;OWOGR02;C
Owiñska Ks. Piotrowskiego;OWKSP01;C
Owiñska Ks. Piotrowskiego;OWKSP02;C
Owiñska Pa³ac;OWPAL01;C
Owiñska Pa³ac;OWPAL02;C
Ozimina;OZIM01;A
Ozimina;OZIM02;A
O¿arowska;OZAR01;A
O¿arowska;OZAR02;A
Palacza;PALA01;A
Palacza;PALA02;A
Palmiarnia;PALM01;A
Palmiarnia;PALM02;A
Pami¹tkowa;PAMI71;A
Pami¹tkowa;PAMI72;A
Park Wilsona;PAWI01;A
Park Wilsona;PAWI02;A
Park Wilsona;PAWI71;A
Park Wilsona;PAWI72;A
Pasieka;PASI41;A
Pasieka;PASI42;A
Perzycka;PERZ02;A
Piastowska;PINZ01;A
Piastowska;PINZ02;A
Piaœnicka;PIAS01;A
Piaœnicka;PIAS02;A
Piaœnicka/Kurlandzka;PK01;A
Piaœnicka/Kurlandzka;PK02;A
Piaœnicka/Kurlandzka;PK41;A
Piaœnicka/Kurlandzka;PK42;A
Piaœnicka/Rynek;PIAR41;A
Piaœnicka/Rynek;PIAR42;A
Pi¹tkowska;PIAT01;A
Pi¹tkowska;PIAT02;A
Pi¹tkowska;PIAT03;A
Pi¹tkowska;PIAT04;A
Pi¹tkowska;PIAT42;A
Pilotów;PILO01;A
Pilotów;PILO02;A
Pi³sudskiego;PILS01;A
Pi³sudskiego;PILS02;A
Piñczowska;PINC01;A
Piñczowska;PINC02;A
Piotrowo;PIOT01;A
Piotrowo;PIOT02;A
Piwna;PIWN01;A
Piwna;PIWN02;A
Piwna;PIWN03;A
Piwna;PIWN04;A
Pl. Cyryla Ratajskiego;PLCR41;A
Pl. Cyryla Ratajskiego;PLCR42;A
Pl. Wielkopolski;PLWI41;A
Pl. Wielkopolski;PLWI42;A
Pl. Wiosny Ludów;PLWL41;A
Pl. Wiosny Ludów;PLWL42;A
Pl. Wolnoœci;PLWO02;A
Pl. Wolnoœci;PLWO41;A
Plac Bernardyñski;PLBE02;A
Plac Bernardyñski;PLBE71;A
Plac Bernardyñski;PLBE72;A
Plonowa;PLON01;A
POD £awica;PODL01;A
POD £awica;PODL02;A
POD Rusa³ka;PODR01;A
POD Rusa³ka;PODR02;A
Podolany;PODO01;A
Podolany;PODO02;A
Podolany;PODO03;A
Podolany;PODO04;A
Podolañska;PDNZ01;A
Podolañska;PDNZ02;A
Pokrzywno;POKR01;A
Pokrzywno;POKR02;A
Polanka;POKA41;A
Polanka;POKA42;A
Politechnika;PP71;A
Politechnika;PP72;A
Polna;PONA71;A
Polna;PONA72;A
Polna/Szpital;POLN01;A
Polna/Szpital;POLN02;A
Polonez;POLO01;A
Polonez;POLO02;A
Polska;PONZ01;A
Polska;PONZ02;A
Po³abska;POLA01;A
Po³abska;POLA02;A
Po³abska;POLA03;A
Po³abska;POLA42;A
Po³abska SAM;PSAM01;A
Po³abska SAM;PSAM02;A
Port Lotniczy £awica;PLL01;A
Port Lotniczy £awica;PLL02;A
Port Lotniczy £awica;PLL04;A
Poznañ G³ówny;POGL03;A
Poznañ G³ówny;POGL04;A
Poznañ G³ówny;POGL41;A
Poznañ G³ówny;POGL42;A
Poznañ G³ówny;POGL73;A
Poznañ G³ówny;POGL74;A
Poznañska;POZN41;A
Poznañska;POZN42;A
Pó³wiejska;POLW01;A
Pó³wiejska;POLW02;A
Pó³wiejska;POLW41;A
Pó³wiejska;POLW42;A
Promienista;PROM01;A
Promienista;PROM02;A
Promnice Pó³nocna;PRPLN01;C
Promnice Pó³nocna;PRPLN02;C
Prz¹œniczki;PRZA01;A
Prz¹œniczki;PRZA02;A
Przebêdowo Park;PDPAR01;C
Przebêdowo Park;PDPAR02;C
Przebêdowo Pêtla;PDPET01;C
Przelot;PLOT01;A
Przelot;PLOT02;A
Prze³ajowa;PZEL41;A
Prze³ajowa;PZEL42;A
Przepadek;PRNZ02;A
Przepadek;PRNZ04;A
Psarskie;PSAR01;A
Psarskie;PSAR02;A
Psarskie Przejazd Kolejowy;PSPK01;A
Pusta;PUST01;A
Pusta;PUST02;A
Pusta;PUST41;A
Pusta;PUST42;A
Puszkina;PUSA02;A
Radojewo;RADO01;A
Radojewo I;RA I02;A
Radojewo II;RAII01;A
Radojewo II;RAII02;A
Radomska;RAKA01;A
Radomska;RAKA02;A
Rakoniewicka;RAKO01;A
Rakoniewicka;RAKO02;A
Rakoniewicka;RAKO03;A
Robocza;ROBO01;A
Robocza;ROBO02;A
Rodawska;RODA01;A
Rodawska;RODA02;A
Rolna;ROLN03;A
Rolna;ROLN04;A
Rolna;ROLN41;A
Rolna;ROLN42;A
Rolna;ROLN91;A
Rondo Jana Nowaka-Jeziorañskiego;RJNJ01;A
Rondo Jana Nowaka-Jeziorañskiego;RJNJ02;A
Rondo Jana Nowaka-Jeziorañskiego;RJNJ41;A
Rondo Jana Nowaka-Jeziorañskiego;RJNJ42;A
Rondo Jana Nowaka-Jeziorañskiego;RJNJ73;A
Rondo Jana Nowaka-Jeziorañskiego;RJNJ74;A
Rondo Kaponiera;RKAP01;A
Rondo Kaponiera;RKAP02;A
Rondo Kaponiera;RKAP33;A
Rondo Kaponiera;RKAP34;A
Rondo Kaponiera;RKAP91;A
Rondo Minikowo;ROMI01;A
Rondo Minikowo;ROMI02;A
Rondo Minikowo;ROMI03;A
Rondo Obornicka;ROOB01;A
Rondo Obornicka;ROOB02;A
Rondo Rataje;RRAT01;A
Rondo Rataje;RRAT02;A
Rondo Rataje;RRAT03;A
Rondo Rataje;RRAT04;A
Rondo Rataje;RRAT08;A
Rondo Rataje;RRAT30;A
Rondo Rataje;RRAT41;A
Rondo Rataje;RRAT42;A
Rondo Rataje;RRAT43;A
Rondo Rataje;RRAT44;A
Rondo Solidarnoœci;ROSO01;A
Rondo Solidarnoœci;ROSO02;A
Rondo Solidarnoœci;ROSO03;A
Rondo Solidarnoœci;ROSO04;A
Rondo Solidarnoœci;ROSO41;A
Rondo Solidarnoœci;ROSO42;A
Rondo Staro³êka;RSTA01;A
Rondo Staro³êka;RSTA02;A
Rondo Staro³êka;RSTA03;A
Rondo Staro³êka;RSTA41;A
Rondo Staro³êka;RSTA42;A
Rondo Staro³êka;RSTA43;A
Rondo Staro³êka;RSTA44;A
Rondo Staro³êka;RSTA45;A
Rondo Staro³êka;RSTA46;A
Rondo Staro³êka;RSTA47;A
Rondo Staro³êka;RSTA48;A
Rondo Œródka;ROSR01;A
Rondo Œródka;ROSR02;A
Rondo Œródka;ROSR03;A
Rondo Œródka;ROSR04;A
Rondo Œródka;ROSR30;A
Rondo Œródka;ROSR41;A
Rondo Œródka;ROSR42;A
Rondo Œródka;ROSR43;A
Rondo Œródka;ROSR44;A
Rondo Œródka;ROSR45;A
Rondo Œródka;ROSR46;A
Rondo Œródka;ROSR47;A
Rondo ¯egrze;RZEG41;A
Rondo ¯egrze;RZEG42;A
Ró¿ana;ROZA41;A
Ró¿ana;ROZA42;A
Rubie¿;RUBI01;A
Rubie¿;RUBI02;A
Rudnicze;RUDN01;A
Rudnicze;RUDN02;A
Rumiankowa;RUMA01;A
Rumiankowa;RUMA02;A
Rycerska;RYCE01;A
Rycerska;RYCE02;A
Rycerska;RYCE04;A
Rynek Je¿ycki;RJEZ71;A
Rynek Je¿ycki;RJEZ72;A
Rynek Je¿ycki;RJEZ73;A
Rynek Je¿ycki;RJEZ74;A
Rynek £azarski;RYLA71;A
Rynek £azarski;RYLA72;A
Rynek Wildecki;RYWI43;A
Rynek Wildecki;RYWI44;A
Rynek Wildecki;RYWI71;A
Rynek Wildecki;RYWI72;A
Rynek Wschodni;RWSC01;A
Rynek Wschodni;RWSC02;A
Rzepeckiej;RZEP01;A
Rzepeckiej;RZEP02;A
Safony;SAFO01;A
Sanocka;SANT01;A
Sanocka;SANT02;A
Sarmacka;SARM01;A
Sarmacka;SARM02;A
Sczanieckiej;SOEJ01;A
Sczanieckiej;SOEJ02;A
Sempo³owskiej;SJNZ01;A
Sempo³owskiej;SJNZ02;A
Serafitek;SERA01;A
Serafitek;SERA41;A
Serafitek;SERA42;A
Sielska;SIEL71;A
Sielska;SIEL72;A
Siewierska;SIEW01;A
Siewierska;SIEW02;A
Skibowa;SKIB91;A
Skibowa;SKIB92;A
S³owiañska;SLKA01;A
S³owiañska;SLKA02;A
S³owiañska;SLKA03;A
S³owiañska;SLKA04;A
S³owiañska;SLKA06;A
S³owiañska;SLKA41;A
S³owiañska;SLKA42;A
S³upska;SLUP01;A
S³upska;SLUP02;A
Smochowice;SMOC01;A
Smochowice;SMOC02;A
Smolna;SMNA01;A
Smolna;SMNA02;A
Smoluchowskiego;SMGO01;A
Smoluchowskiego;SMGO02;A
Smoluchowskiego;SMGO03;A
Smoluchowskiego;SMGO41;A
Smoluchowskiego;SMGO42;A
Smo³dzinowska;SMOL01;A
Smo³dzinowska;SMOL02;A
Sobies³awa;SOBI01;A
Sobies³awa;SOBI02;A
Sochaczewska;SOCH02;A
Solna;SOLN01;A
Solna;SOLN02;A
So³acz;SOLA41;A
So³acz;SOLA42;A
Sp³awie;SPLA02;A
Sp³awska;SPKA01;A
Sp³awska;SPKA02;A
Staro³êcka Wiadukt;STAW01;A
Staro³êcka Wiadukt;STAW02;A
Staro³êka;STAR01;A
Staro³êka;STAR02;A
Staro³êka;STAR04;A
Staro³êka;STAR21;A
Staro³êka;STAR30;A
Staro³êka;STAR42;A
Staro³êka;STAR43;A
Staro³êka Wielka;STWI01;A
Staro³êka Wielka;STWI02;A
Staro³êka Wielka;STWI05;A
Staszowska;STAS01;A
Staszowska;STAS02;A
Stobnicka;STOB01;A
Stobnicka;STOB02;A
Stoiñskiego;STOI01;A
Stoiñskiego;STOI02;A
Stoiñskiego;STOI03;A
Stoiñskiego;STOI04;A
Stomil;STOM01;A
Stomil;STOM02;A
Stomil;STOM41;A
Stomil;STOM42;A
Stomil;STOM43;A
Stró¿yñskiego;STRO01;A
Stró¿yñskiego;STRO02;A
Strugarka;STRU01;A
Strugarka;STRU02;A
Strzeleckiego;STRZ01;A
Strzeleckiego;STRZ02;A
Strzeszyn;SZYN01;A
Strzeszyn;SZYN02;A
Strzeszyn;SZYN03;A
Strzeszyn;SZYN04;A
Strzeszyn;SZYN21;A
Strzeszyn I;SNZ01;A
Strzeszyn I;SNZ02;A
Strzeszynek;STEK01;A
Strzeszynek;STEK02;A
Strzeszyñska;STNZ01;A
Strzeszyñska;STNZ02;A
Strzeszyñska I;ST I01;A
Strzeszyñska I;ST I02;A
Strzeszyñska II;STII01;A
Strzeszyñska II;STII02;A
Strzy¿owska;STRA01;A
Strzy¿owska;STRA02;A
Studzienna;STUD01;A
Studzienna;STUD02;A
Sucholeska;SUCH01;A
Sucholeska;SUCH02;A
Suszki;SUSZ01;A
Suszki;SUSZ02;A
Swarzêdz Kupiecka;SDKUP02;B
Swarzêdz Kupiecka;SDKUP04;B
Swarzêdz Os. Cegielskiego;SDCEG01;B
Swarzêdz Os. Cegielskiego;SDCEG02;B
Swarzêdz Os. Raczyñskiego;SDRAC01;B
Swarzêdz Os. Raczyñskiego;SDRAC02;B
Swarzêdz Przybylskiego;SDPRZ01;B
Swarzêdz Przybylskiego;SDPRZ02;B
Swarzêdz Szumana;SDSZU01;B
Swarzêdz Szumana;SDSZU02;B
Swoboda;SWOB01;A
Swoboda;SWOB02;A
Sycowska I;SYCO01;A
Sycowska I;SYCO02;A
Sycowska II;SYNZ01;A
Sycowska II;SYNZ02;A
Sycowska/Auchan;AUCH02;A
Synów Pu³ku;SYPU01;A
Synów Pu³ku;SYPU02;A
Sypniewo;SYPN02;A
Szamotulska;SZAM01;A
Szamotulska;SZAM02;A
Szarych Szeregów;SZSZ01;A
Szarych Szeregów;SZSZ02;A
Szarych Szeregów I;SS I01;A
Szarych Szeregów I;SS I02;A
Szczawnicka;SZKA01;A
Szczawnicka;SZKA02;A
Szczepankowo;SZWO01;A
Szczepankowo;SZWO02;A
Szeligowskiego;SZLI01;A
Szeligowskiego;SZLI02;A
Szeligowskiego I;SZNZ01;A
Szlachêcin;SHCIN01;C
Szlachêcin;SHCIN02;C
Szpital Lutycka;SZLU01;A
Szpital Lutycka;SZLU02;A
Szpital Lutycka;SZLU41;A
Szpital Lutycka;SZLU42;A
Szpital MSW;SMSW02;A
Szpital Rehabilitacyjny;SZRE01;A
Szpital Rehabilitacyjny;SZRE02;A
Szpitalna;SZPI01;A
Szpitalna;SZPI02;A
Szpitalna;SZPI03;A
Szpitalna;SZPI04;A
Szwajcarska;SZWA41;A
Szwajcarska;SZWA42;A
Szwedzka;SZWE41;A
Szwedzka;SZWE42;A
Szylinga;SZYL01;A
Szylinga;SZYL02;A
Szymanowskiego;SZYM01;A
Szymanowskiego;SZYM02;A
Szymanowskiego;SZYM04;A
Szymanowskiego;SZYM08;A
Szymanowskiego;SZYM41;A
Szymanowskiego;SZYM42;A
Szymborska;SSKA01;A
Szymborska;SSKA02;A
Œciegiennego;SCIE01;A
Œciegiennego;SCIE02;A
Œciegiennego;SCIE03;A
Œciegiennego;SCIE04;A
Œl¹ska;SLAS01;A
Œl¹ska;SLAS02;A
Œlê¿añska;SLEZ01;A
Œlê¿añska;SLEZ02;A
Œlê¿añska;SLEZ04;A
Œmie³owska;SMIE01;A
Œmie³owska;SMIE02;A
Œw. Antoniego;SWAN01;A
Œw. Antoniego;SWAN02;A
Œw. Antoniego;SWAN03;A
Œw. Antoniego Cmentarz;SWAC01;A
Œw. Antoniego Cmentarz;SWAC02;A
Œw. Antoniego Koœció³;SWAK01;A
Œw. Antoniego Koœció³;SWAK02;A
Œw. Czes³awa;SWCZ71;A
Œw. Czes³awa;SWCZ72;A
Œw. Leonarda;SWLE01;A
Œw. Leonarda;SWLE02;A
Œw. Leonarda;SWLE41;A
Œw. Leonarda;SWLE42;A
Œw. Micha³a;SWMI41;A
Œw. Micha³a;SWMI42;A
Œwiatope³ka;SWIA01;A
Œwiatope³ka;SWIA02;A
Œwierczewo;SWIE01;A
Œwierczewo;SWIE02;A
Œwierzawska;SWRZ01;A
Œwierzawska;SWRZ02;A
Œwiêty Marcin;SWMN(x)01;A
Taczanowskiego;TACZ01;A
Taczanowskiego;TACZ02;A
Tarczowa;TARC01;A
Tarczowa;TARC02;A
Tarnobrzeska;TARN01;A
Tarnobrzeska;TARN02;A
Tarnowska;TAKA01;A
Tarnowska;TAKA02;A
Tatrzañska;TATR01;A
Tatrzañska;TATR02;A
Termy;TERM01;A
Termy;TERM02;A
Termy;TERM03;A
Termy;TERM04;A
Termy;TERM41;A
Termy;TERM42;A
Termy Maltañskie;TEMA01;A
Têczowa;TECZ01;A
Têczowa;TECZ02;A
To³stoja;TOLT01;A
To³stoja;TOLT02;A
Tomaszowska;TOMA01;A
Tomaszowska;TOMA02;A
Torowa;TORO01;A
Towarowa;TO I71;A
Traugutta;TRAU01;A
Traugutta;TRAU02;A
Traugutta;TRAU42;A
Traugutta;TRAU43;A
Traugutta;TRAU44;A
Traugutta;TRAU71;A
Trêbacka;TREB01;A
Trêbacka;TREB02;A
Trójpole;TROJ01;A
Trójpole;TROJ02;A
Truskawiecka;TRUS01;A
Truskawiecka;TRUS02;A
Trzebiñska;TRZE01;A
Trzebiñska;TRZE02;A
Tu³odzieckiej;TULO01;A
Tu³odzieckiej;TULO02;A
Tyniecka;TYNZ02;A
U³añska;ULAN01;A
U³añska;ULAN02;A
Umultowo;UMTA01;A
Umultowo;UMTA02;A
Umultowska;UMUL01;A
Umultowska;UMUL02;A
Umultowska;UMUL03;A
Umultowska;UMUL04;A
Umultowska;UMUL05;A
Uniwersytet Ekonomiczny;UE01;A
Uniwersytet Ekonomiczny;UE02;A
Uniwersytet Przyrodniczy;UP01;A
Uniwersytet Przyrodniczy;UP02;A
Uniwersytet Przyrodniczy;UP41;A
Uniwersytet Przyrodniczy;UP42;A
Uradzka;URAD01;A
Uradzka;URAD02;A
Urbanowska;URBA02;A
Urszulanek;URSZ01;A
Urszulanek;URSZ02;A
Urwista;URWI01;A
Urwista;URWI02;A
Urz¹d Wojewódzki;URWO01;A
Warowna;WARO01;A
Warowna;WARO02;A
Wêgorka;WEGO01;A
Wêgorka;WEGO02;A
Wêgorka;WEGO41;A
Wêgorka;WEGO42;A
Wiadukt;WIAD01;A
Wiadukt;WIAD02;A
Wiankowa;WIAN01;A
Wiankowa;WIAN02;A
Wichrowa;WICH01;A
Wichrowa;WICH02;A
Wid³akowa;WDNZ01;A
Wid³akowa;WDNZ02;A
Wieczorynki;WIEC01;A
Wieczorynki;WIEC02;A
Wielka;WIEL01;A
Wielkopolska;WIKA01;A
Wielkopolska;WIKA02;A
Wielkopolska;WIKA41;A
Wielkopolska;WIKA42;A
Wieprawska;WIEP01;A
Wieprawska;WIEP02;A
Wierzbiêcice;WIER41;A
Wierzbiêcice;WIER42;A
Wie¿a RTV;WRTV01;A
Wie¿a RTV;WRTV02;A
Wilczak;WILC01;A
Wilczak;WILC02;A
Wilczak;WILC03;A
Wilczak;WILC04;A
Wilczak;WILC42;A
Wilczak II;WIII01;A
Wilczak II;WIII02;A
Wilczak II;WIII04;A
Wilczy M³yn;WIML01;A
Wilczy M³yn;WIML02;A
Wilków Morskich;WIMO01;A
Wilków Morskich;WIMO02;A
Winogrady;WIGR01;A
Winogrady;WIGR02;A
Wioœlarska;WIOS41;A
Wioœlarska;WIOS42;A
Witosa K³adka;WIKL02;A
Witosa Wiadukt;WIWI02;A
W³odarska;WLOD01;A
W³odarska;WLOD02;A
W³oœciañska;WLOA01;A
W³oœciañska;WLOA02;A
Wojciechowskiego;WOKI01;A
Wojciechowskiego;WOKI02;A
Wojska Polskiego;WOPO01;A
Wojska Polskiego;WOPO02;A
Wojska Polskiego;WOPO03;A
Wojska Polskiego;WOPO04;A
Wojskowa;WOJS01;A
Wojskowa;WOJS41;A
Wo³kowyska;WOLK01;A
Wo³kowyska;WOLK02;A
Wo³owska;WOLO01;A
Wo³owska;WOLO02;A
Wójtowska;WOJT01;A
Wroc³awska;WROC71;A
Wroc³awska;WROC72;A
Wspólna;WSPO42;A
Wspólna;WSPO71;A
Wspólna I;WSNZ91;A
Wspólna I;WSNZ92;A
Wykopy;WYKO01;A
Wy³om;WYLO01;A
Wy³om;WYLO02;A
Wyspiañskiego;WYSP01;A
Wyspiañskiego;WYSP02;A
Zaklikowska;ZAKL01;A
Zaklikowska;ZAKL02;A
Zalasewo Planetarna Gimnazjum;ZAGIM02;B
Zamek;ZAME01;A
Zamek;ZAME02;A
Zawady;ZAWA01;A
Zawady;ZAWA02;A
Zawady;ZAWA03;A
Zawady;ZAWA42;A
Zeylanda;ZEYL41;A
Zeylanda;ZEYL42;A
Zgorzelecka;ZGOR01;A
Zgorzelecka;ZGOR02;A
Zieliniec;ZIEL01;A
Zieliniec;ZIEL02;A
Ziemowita;ZIEM01;A
Ziemowita;ZIEM02;A
Z³otowska;ZLOT01;A
Z³otowska;ZLOT02;A
ZNTK;ZNTK01;A
ZNTK;ZNTK02;A
¯eglarska;ZEGL01;A
¯eglarska;ZEGL02;A
¯egrze I;Z I01;A
¯egrze I;Z I02;A
¯egrze I;Z I41;A
¯egrze I;Z I42;A
¯egrze II;Z II01;A
¯egrze II;Z II02;A
¯egrze II;Z II41;A
¯egrze II;Z II42;A
¯egrze III;ZIII01;A
¯egrze III;ZIII02;A
¯egrze III;ZIII41;A
¯egrze III;ZIII42;A
¯elazna;ZELA01;A
¯elazna;ZELA02;A
¯eromskiego;ZERO01;A
¯eromskiego;ZERO02;A
¯eromskiego;ZERO03;A
¯eromskiego;ZERO06;A
¯eromskiego;ZERO41;A
¯eromskiego;ZERO42;A
¯eromskiego;ZERO73;A
¯niwna;ZNIW41;A
¯niwna;ZNIW42;A
¯onkilowa;ZONK01;A
¯onkilowa;ZONK02;A
¯ywiczna;ZYNA01;A
